steps,click_accuracy
2000,0.03538298
4000,0.05222471
6000,0.09921896
8000,0.2728631
10000,0.4995717
12000,0.7290795
14000,0.8596608
16000,0.8589724
18000,0.8714644
20000,0.9146011
22000,0.8594821
24000,0.9193814
26000,0.9612316
28000,0.8867946
30000,0.9614578
32000,0.9399101
34000,0.9761257
36000,0.9742423
38000,0.971996
40000,0.9906089
42000,0.9749294
44000,0.9845887
46000,0.9938687
48000,0.9892778
50000,0.9880848
52000,0.9964008
54000,0.9901718
56000,0.9865515
58000,0.997452
60000,0.9901175
62000,0.9744421
64000,0.9831111
66000,0.9962698
68000,0.9961989
70000,0.9953414
72000,0.9972267
74000,0.996034
76000,0.9885856
78000,0.9958079
80000,0.9949974
82000,0.9863239
84000,0.9824883
86000,0.9934403
88000,0.9868842
90000,0.9912328
92000,0.9720135
94000,0.9848899
96000,0.9940059
98000,0.9966028
100000,0.9916379
102000,0.9835656
104000,0.9820721
106000,0.9851924
108000,0.9748852
110000,0.9816115
112000,0.9801493
114000,0.9791713
116000,0.9816603
118000,0.9850716
120000,0.9844943
122000,0.9937958
124000,0.9940171
126000,0.9869014
128000,0.9930347
130000,0.9871751
132000,0.9912072
134000,0.9945877
136000,0.9958659
138000,0.9935586
140000,0.9959867
142000,0.9903005
144000,0.9859235
146000,0.9939228
148000,0.996527
150000,0.9921463
152000,0.9987268
154000,0.9949566
156000,0.9945362
158000,0.9980314
160000,0.9954694
162000,0.9971587
164000,0.9953172
166000,0.9945665
168000,0.9908923
170000,0.9956643
172000,0.991559
174000,0.9974647
176000,0.9883604
178000,0.9867921
180000,0.9952286
182000,0.9958636
184000,0.9951509
186000,0.9915758
188000,0.9918127
190000,0.9938138
192000,0.9978128
194000,0.9921157
196000,0.9976252
198000,0.9935601
200000,0.9942442
202000,0.9910646
204000,0.9897815
206000,0.9882767
208000,0.9860843
210000,0.9953206
212000,0.9967074
214000,0.9920512
216000,0.9941707
218000,0.9930552
220000,0.995029
222000,0.9958995
224000,0.9971444
226000,0.9902439
228000,0.9803246
230000,0.9915887
232000,0.985763
234000,0.9942608
236000,0.9954945
238000,0.9926484
240000,0.9928834
242000,0.9967446
244000,0.9953484
246000,0.9936473
248000,0.995216
250000,0.995891
252000,0.9904361
254000,0.9923165
256000,0.9966322
258000,0.9924865
260000,0.9925379
262000,0.994458
264000,0.9870536
266000,0.9900892
268000,0.9966199
270000,0.9966543
272000,0.9932086
274000,0.9949466
276000,0.9943606
278000,0.9925686
280000,0.9903834
282000,0.9952769
284000,0.9925797
286000,0.9960119
288000,0.9972168
290000,0.9932687
292000,0.9964896
294000,0.9953428
296000,0.9932281
298000,0.9936495
300000,0.9946788
