steps,click_accuracy
2000,0.0422692
4000,0.06266928
6000,0.1288103
8000,0.2783283
10000,0.5090366
12000,0.6764358
14000,0.8060761
16000,0.8346538
18000,0.8766521
20000,0.8851233
22000,0.8980394
24000,0.8886093
26000,0.9468533
28000,0.9199256
30000,0.9735283
32000,0.9710538
34000,0.9640034
36000,0.9835336
38000,0.9862292
40000,0.9800168
42000,0.9965621
44000,0.9818471
46000,0.9835257
48000,0.9698195
50000,0.9738163
52000,0.9775695
54000,0.9881036
56000,0.9796411
58000,0.9740789
60000,0.9686401
62000,0.9817735
64000,0.9849612
66000,0.9749964
68000,0.9867896
70000,0.9794786
72000,0.9878293
74000,0.9819938
76000,0.9893252
78000,0.9884382
80000,0.9859319
82000,0.9887054
84000,0.9837916
86000,0.9889171
88000,0.9840942
90000,0.9840144
92000,0.9929863
94000,0.9903827
96000,0.9939706
98000,0.9914463
100000,0.97741
102000,0.9828166
104000,0.9780434
106000,0.9797198
108000,0.9822337
110000,0.9894789
112000,0.9875278
114000,0.9874476
116000,0.992237
118000,0.9901298
120000,0.9916332
122000,0.9945287
124000,0.9903914
126000,0.9858415
128000,0.9836017
130000,0.9837005
132000,0.9727519
134000,0.9769512
136000,0.9805598
138000,0.9856031
140000,0.9819667
142000,0.9912408
144000,0.9919683
146000,0.9924332
148000,0.9836655
150000,0.9902953
152000,0.9922398
154000,0.987163
156000,0.9906762
158000,0.9940386
160000,0.9836978
162000,0.9930069
164000,0.9895959
166000,0.9944438
168000,0.990235
170000,0.9952367
172000,0.9905031
174000,0.9890159
176000,0.9897533
178000,0.9889123
180000,0.9928676
182000,0.988157
184000,0.9875004
186000,0.9873415
188000,0.996123
190000,0.9890808
192000,0.9864011
194000,0.9912439
196000,0.9930567
198000,0.988416
200000,0.9936091
202000,0.9914451
204000,0.9936033
206000,0.9950027
208000,0.9905585
210000,0.9909261
212000,0.9902377
214000,0.9925396
216000,0.9927934
218000,0.9956388
220000,0.9862531
222000,0.9910119
224000,0.988641
226000,0.9896103
228000,0.9853302
230000,0.9914227
232000,0.9913433
234000,0.9873388
236000,0.9945194
238000,0.9956205
240000,0.9927114
242000,0.9896499
244000,0.9862404
246000,0.9910734
248000,0.9885157
250000,0.9917347
252000,0.9909313
254000,0.9937972
256000,0.988586
258000,0.9827341
260000,0.9900536
262000,0.9898503
264000,0.9842572
266000,0.993824
268000,0.9883766
270000,0.9934067
272000,0.9865615
274000,0.9905065
276000,0.9929225
278000,0.9920025
280000,0.9911931
282000,0.9868166
284000,0.9959204
286000,0.9950494
288000,0.9917637
290000,0.9913256
292000,0.9872261
294000,0.9913649
296000,0.9910055
298000,0.9911356
300000,0.9932811
