steps,click_accuracy
2000,0.03813989
4000,0.0608737
6000,0.1154224
8000,0.2226895
10000,0.3979246
12000,0.5359468
14000,0.6468084
16000,0.6938775
18000,0.7858581
20000,0.7376336
22000,0.7888829
24000,0.8104949
26000,0.8531059
28000,0.8029714
30000,0.8873227
32000,0.8596366
34000,0.9460713
36000,0.9084227
38000,0.932408
40000,0.9453275
42000,0.9787933
44000,0.9877597
46000,0.9873273
48000,0.9871566
50000,0.9891709
52000,0.9966592
54000,0.9929748
56000,0.9926015
58000,0.9961383
60000,0.9978513
62000,0.9925497
64000,0.9993386
66000,0.9952312
68000,0.9985633
70000,0.9945366
72000,0.9978163
74000,0.9883096
76000,0.9956347
78000,0.9971714
80000,0.9968418
82000,0.9952711
84000,0.9971014
86000,0.9993464
88000,0.9964585
90000,0.9992492
92000,0.992589
94000,0.9956197
96000,0.9966494
98000,0.9941849
100000,0.9993225
102000,0.9938588
104000,0.9944244
106000,0.998446
108000,0.9917253
110000,0.9993464
112000,0.9966399
114000,0.9960038
116000,0.9957948
118000,0.9985936
120000,0.9963371
122000,0.9957895
124000,0.9963239
126000,0.9934776
128000,0.987025
130000,0.9917581
132000,0.9945613
134000,0.9943548
136000,0.9974015
138000,0.9927112
140000,0.9963739
142000,0.9985591
144000,0.9947657
146000,0.9941821
148000,0.9971784
150000,0.9965465
152000,0.9986179
154000,0.9958453
156000,0.995248
158000,0.9959785
160000,0.998764
162000,0.9938525
164000,0.9963608
166000,0.9978063
168000,0.9954185
170000,0.9942687
172000,0.9981548
174000,0.9966218
176000,0.9978454
178000,0.9895705
180000,0.9918445
182000,0.9972458
184000,0.9948577
186000,0.9972038
188000,0.9949577
190000,0.9943421
192000,0.9914157
194000,0.996605
196000,0.9944173
198000,0.9955515
200000,0.9973339
202000,0.9932106
204000,0.9932662
206000,0.9916341
208000,0.9985648
210000,0.9959202
212000,0.9975287
214000,0.9967962
216000,0.9943729
218000,0.9906487
220000,0.9913861
222000,0.9987297
224000,0.9944353
226000,0.9938865
228000,0.9921632
230000,0.9958255
232000,0.993535
234000,0.9887233
236000,0.9973598
238000,0.9963808
240000,0.9972758
242000,0.9984776
244000,0.9931725
246000,0.9934683
248000,0.9963929
250000,0.9971774
252000,0.9934748
254000,0.9947522
256000,0.9928674
258000,0.9977676
260000,0.995182
262000,0.9936898
264000,0.9954423
266000,0.9937401
268000,0.9960831
270000,0.9903458
272000,0.9928334
274000,0.9951041
276000,0.9938243
278000,0.993968
280000,0.9912205
282000,0.9956793
284000,0.9904376
286000,0.9972298
288000,0.9977999
290000,0.9955207
292000,0.9950601
294000,0.9949104
296000,0.9945628
298000,0.9951015
300000,0.9937582
