steps,click_accuracy
2000,0.03620497
4000,0.05581454
6000,0.1077543
8000,0.1934428
10000,0.3823014
12000,0.5950358
14000,0.6921909
16000,0.7206865
18000,0.8305256
20000,0.8468659
22000,0.8404651
24000,0.844317
26000,0.9070253
28000,0.9033663
30000,0.8777341
32000,0.9198496
34000,0.9029366
36000,0.8731679
38000,0.9218026
40000,0.947716
42000,0.9208643
44000,0.9401069
46000,0.9723351
48000,0.9644625
50000,0.9742674
52000,0.969991
54000,0.9857441
56000,0.9778432
58000,0.9899058
60000,0.9783378
62000,0.9809385
64000,0.9904509
66000,0.9866397
68000,0.9950926
70000,0.9969237
72000,0.98946
74000,0.9923376
76000,0.9976187
78000,0.9948669
80000,0.9974092
82000,0.9986107
84000,0.9979365
86000,0.9975607
88000,0.9957047
90000,0.9958839
92000,0.982168
94000,0.9984779
96000,0.9935466
98000,0.9913988
100000,0.99757
102000,0.9985648
104000,0.9957539
106000,0.9861383
108000,0.9965801
110000,0.9884802
112000,0.9914908
114000,0.9970449
116000,0.9938808
118000,0.9941915
120000,0.9993141
122000,0.9959913
124000,0.9941434
126000,0.9976676
128000,0.9917986
130000,0.9963691
132000,0.995163
134000,0.9955658
136000,0.9885701
138000,0.997253
140000,0.9950153
142000,0.9979762
144000,0.9952485
146000,0.9959456
148000,0.9930442
150000,0.9846325
152000,0.9958642
154000,0.9992691
156000,0.9900442
158000,0.9955451
160000,0.994544
162000,0.9921505
164000,0.9973122
166000,0.9950589
168000,0.9977767
170000,0.9936137
172000,0.9907481
174000,0.9886964
176000,0.9930727
178000,0.9932579
180000,0.9933584
182000,0.9912713
184000,0.9907531
186000,0.9979421
188000,0.9960338
190000,0.9972465
192000,0.9930513
194000,0.993538
196000,0.9944733
198000,0.9957324
200000,0.9942209
202000,0.9933866
204000,0.9925656
206000,0.994428
208000,0.9966477
210000,0.9985996
212000,0.9899467
214000,0.9948484
216000,0.9927267
218000,0.9931592
220000,0.9915851
222000,0.9885362
224000,0.9944667
226000,0.9911171
228000,0.9971837
230000,0.9953583
232000,0.9993225
234000,0.9986367
236000,0.9904498
238000,0.9959743
240000,0.9976202
242000,0.9966747
244000,0.9943213
246000,0.9963752
248000,0.9984127
250000,0.9882711
252000,0.9985119
254000,0.9919478
256000,0.9960356
258000,0.9947842
260000,0.995829
262000,0.9966426
264000,0.9971212
266000,0.9950421
268000,0.997365
270000,0.9877236
272000,0.9945646
274000,0.9946858
276000,0.9957049
278000,0.9980196
280000,0.9906933
282000,0.9961714
284000,0.9874747
286000,0.9894534
288000,0.9915915
290000,0.9951431
292000,0.9919035
294000,0.9985831
296000,0.9973104
298000,0.9944353
300000,0.9960217
