steps,click_accuracy
2000,0.03813228
4000,0.05811724
6000,0.1074664
8000,0.2140841
10000,0.3992848
12000,0.5812563
14000,0.6866877
16000,0.7293747
18000,0.8174483
20000,0.8484361
22000,0.8826178
24000,0.8524431
26000,0.8854398
28000,0.8272958
30000,0.9438603
32000,0.8812899
34000,0.8532075
36000,0.8418558
38000,0.8407459
40000,0.8392577
42000,0.830411
44000,0.8583853
46000,0.867128
48000,0.884351
50000,0.8891575
52000,0.924199
54000,0.9550509
56000,0.9190017
58000,0.929893
60000,0.9388087
62000,0.9047415
64000,0.935923
66000,0.9707035
68000,0.9674321
70000,0.9620793
72000,0.9602573
74000,0.9518388
76000,0.9831167
78000,0.9795234
80000,0.9718858
82000,0.9692706
84000,0.9850036
86000,0.9842769
88000,0.9747044
90000,0.9967902
92000,0.9910343
94000,0.9925846
96000,0.9973961
98000,0.9862381
100000,0.9891724
102000,0.991163
104000,0.9927788
106000,0.9978616
108000,0.9944955
110000,0.9906371
112000,0.996883
114000,0.9933839
116000,0.9959203
118000,0.9955947
120000,0.9970837
122000,0.9971375
124000,0.9955247
126000,0.994388
128000,0.9959704
130000,1
132000,0.9942338
134000,0.9881815
136000,0.9931131
138000,0.99729
140000,0.9884295
142000,0.9958712
144000,0.9978481
146000,0.9959716
148000,0.9985957
150000,0.9972923
152000,0.9986553
154000,0.9986596
156000,0.9984725
158000,0.9979244
160000,0.9970739
162000,0.9941876
164000,0.9986773
166000,1
168000,0.998508
170000,0.9960365
172000,0.9986993
174000,0.9979102
176000,0.9986928
178000,0.9924966
180000,0.9971981
182000,0.9955114
184000,0.9964894
186000,0.995803
188000,0.9964646
190000,0.9986472
192000,0.9971341
194000,0.9971688
196000,0.9993758
198000,0.9970752
200000,0.9979256
202000,0.9969233
204000,0.9972301
206000,0.9963269
208000,0.9972616
210000,0.9992691
212000,1
214000,0.9945792
216000,0.9978721
218000,0.9972072
220000,0.9957576
222000,0.9965459
224000,0.9963677
226000,0.9938748
228000,0.9914834
230000,0.9934267
232000,0.9950833
234000,0.9971505
236000,0.9924402
238000,0.9965732
240000,0.9965196
242000,0.9952439
244000,0.9966149
246000,0.9964966
248000,0.9959102
250000,0.9949559
252000,0.9957978
254000,0.9985754
256000,1
258000,0.9958767
260000,0.99791
262000,0.9993055
264000,0.9962503
266000,0.9961317
268000,0.9963636
270000,0.995626
272000,0.9967993
274000,0.9951485
276000,0.9959146
278000,0.9920102
280000,0.9941278
282000,0.9930393
284000,0.9935486
286000,0.9978632
288000,0.9985371
290000,0.9971621
292000,0.9952733
294000,0.9971305
296000,0.9976851
298000,0.9957789
300000,0.9958827
