steps,click_accuracy
2000,0.04565208
4000,0.2182015
6000,0.4204158
8000,0.4966882
10000,0.5897486
12000,0.4384259
14000,0.4286717
16000,0.6469939
18000,0.5494385
20000,0.542223
22000,0.554878
24000,0.5787947
26000,0.6890997
28000,0.6750433
30000,0.7414594
32000,0.7402078
34000,0.7624007
36000,0.7769763
38000,0.7572362
40000,0.7452958
42000,0.7539822
44000,0.8128174
46000,0.8372002
48000,0.8183019
50000,0.842676
52000,0.8209739
54000,0.8171129
56000,0.8444885
58000,0.8932814
60000,0.8833391
62000,0.8678247
64000,0.8820272
66000,0.8876598
68000,0.8921207
70000,0.922141
72000,0.9200479
74000,0.8671315
76000,0.8965095
78000,0.8799663
80000,0.932463
82000,0.9599302
84000,0.9455281
86000,0.9343433
88000,0.9445562
90000,0.9553934
92000,0.9510863
94000,0.9525692
96000,0.9647458
98000,0.9552301
100000,0.9612836
102000,0.9606494
104000,0.973508
106000,0.9715447
108000,0.9645061
110000,0.9704127
112000,0.9704775
114000,0.9702398
116000,0.9777372
118000,0.9774941
120000,0.9720678
122000,0.9713535
124000,0.9762576
126000,0.9796859
128000,0.970921
130000,0.9744722
132000,0.9750135
134000,0.9703286
136000,0.9780104
138000,0.9689088
140000,0.981109
142000,0.9907883
144000,0.974796
146000,0.9730336
148000,0.9836137
150000,0.9849252
152000,0.9875751
154000,0.9849554
156000,0.9829764
158000,0.9817506
160000,0.9885862
162000,0.9902555
164000,0.9890087
166000,0.9895652
168000,0.9901075
170000,0.9889649
172000,0.992216
174000,0.9909451
176000,0.9910209
178000,0.991124
180000,0.9890987
182000,0.9877849
184000,0.9937975
186000,0.9845369
188000,0.9902385
190000,0.9909604
192000,0.9930509
194000,0.9903141
196000,0.9929386
198000,0.9816828
200000,0.9870408
202000,0.9819731
204000,0.9888499
206000,0.9917142
208000,0.9966418
210000,0.9922782
212000,0.9888768
214000,0.994508
216000,0.9881504
218000,0.9924598
220000,0.9945357
222000,0.9900832
224000,0.9891612
226000,0.995133
228000,0.986219
230000,0.9930938
232000,0.9925293
234000,0.9924313
236000,0.9916413
238000,0.9937879
240000,0.9986635
242000,0.9924847
244000,0.9945356
246000,0.9966165
248000,0.9965761
250000,0.9924166
252000,0.9915481
254000,0.9923962
256000,0.9897424
258000,0.9957643
260000,0.9870172
262000,0.989707
264000,0.9903465
266000,0.9917982
268000,0.9926762
270000,0.9937537
272000,0.9952195
274000,0.9932576
276000,0.9936756
278000,0.9964345
280000,0.9924377
282000,0.99363
284000,0.9943631
286000,0.9959586
288000,0.9957877
290000,0.9958476
292000,0.9951704
294000,0.9903269
296000,0.9910683
298000,0.9937325
300000,0.991073
