steps,click_accuracy
2000,0.08999076
4000,0.8610786
6000,0.9581437
8000,0.9847503
10000,0.9929074
12000,0.9952876
14000,0.9979422
16000,0.9952053
18000,0.9993142
20000,0.9939817
22000,0.9910895
24000,0.9911454
26000,0.9911401
28000,0.993221
30000,0.9945492
32000,0.9939172
34000,0.9945199
36000,0.9966023
38000,0.9986197
40000,1
42000,0.9993055
44000,0.9952233
46000,1
48000,0.9958919
50000,0.9993142
52000,0.9979165
54000,0.9972299
56000,0.9993141
58000,0.9965446
60000,0.9986282
62000,1
64000,0.9972649
66000,0.9965445
68000,0.9979507
70000,0.9979587
72000,0.9993308
74000,0.9972564
76000,0.9993142
78000,0.9979252
80000,0.9965951
82000,0.9973061
84000,0.9979503
86000,0.9972473
88000,0.9986283
90000,0.996545
92000,0.9986193
94000,1
96000,0.9910063
98000,0.9975495
100000,0.9986612
102000,0.9986282
104000,0.9986282
106000,1
108000,1
110000,0.9993141
112000,0.9993141
114000,0.9993142
116000,0.9979338
118000,0.9979506
120000,0.9979675
122000,0.9952319
124000,0.9972816
126000,0.9986283
128000,0.9986197
130000,0.9993225
132000,0.9993142
134000,0.997959
136000,0.9960376
138000,0.9986367
140000,0.9986283
142000,1
144000,0.9979508
146000,0.9986197
148000,0.9986367
150000,0.9979591
152000,0.9972897
154000,1
156000,0.9986367
158000,0.997907
160000,0.9993225
162000,0.9993225
164000,0.9986367
166000,1
168000,1
170000,0.9993225
172000,1
174000,0.9986367
176000,1
178000,0.9993141
180000,0.9986109
182000,0.9993225
184000,0.9993142
186000,1
188000,0.9986283
190000,1
192000,0.9845938
194000,1
196000,0.9993306
198000,1
200000,0.9993225
202000,1
204000,0.9993055
206000,1
208000,1
210000,0.9993055
212000,0.9983639
214000,0.9964912
216000,0.9993142
218000,0.9947712
220000,1
222000,0.9993055
224000,1
226000,0.9986109
228000,0.9993142
230000,0.9993141
232000,1
234000,0.9992968
236000,1
238000,0.9992968
240000,0.9993225
242000,1
244000,1
246000,0.9993225
248000,1
250000,0.9979591
252000,0.9986197
254000,0.9993225
256000,0.9966687
258000,1
260000,0.9979913
262000,0.9993308
264000,1
266000,0.9993758
268000,0.9992785
270000,1
272000,1
274000,0.9799535
276000,1
278000,1
280000,0.9993142
282000,0.9993306
284000,1
286000,0.9993308
288000,0.9993225
290000,0.9979673
292000,1
294000,0.9986449
296000,1
298000,1
300000,1
