steps,click_accuracy
2000,0.03258702
4000,0.1171703
6000,0.08104037
8000,0.1278498
10000,0.1267056
12000,0.1999571
14000,0.1579365
16000,0.2088624
18000,0.2060426
20000,0.5546423
22000,0.7120819
24000,0.7818344
26000,0.8408567
28000,0.9178388
30000,0.9768633
32000,0.9872935
34000,0.9767795
36000,0.9816318
38000,0.9859265
40000,0.9887114
42000,0.9836577
44000,0.9806857
46000,0.9710223
48000,0.9805344
50000,0.964704
52000,0.9687751
54000,0.9495866
56000,0.9627124
58000,0.9495628
60000,0.9896739
62000,0.9945688
64000,0.9857782
66000,0.9938176
68000,0.9945372
70000,0.9884226
72000,0.9817253
74000,0.9674042
76000,0.9918573
78000,0.98375
80000,0.9798924
82000,0.9872318
84000,0.9830603
86000,0.9891503
88000,0.995867
90000,0.9952313
92000,0.9784691
94000,0.9924718
96000,0.9952233
98000,0.9918819
100000,0.9724978
102000,0.9898841
104000,0.983236
106000,0.9816291
108000,0.9952403
110000,0.9857671
112000,0.9910991
114000,0.9945293
116000,0.9972299
118000,0.9965779
120000,0.9986365
122000,0.9986112
124000,0.9993142
126000,1
128000,0.9993306
130000,1
132000,0.9992968
134000,0.9993225
136000,0.9993055
138000,1
140000,1
142000,0.9979589
144000,0.9986193
146000,0.9979587
148000,0.9993142
150000,0.9986023
152000,0.9993225
154000,0.9945205
156000,0.9986281
158000,0.9986109
160000,0.9965526
162000,0.9952307
164000,0.996587
166000,1
168000,0.9979252
170000,0.9972042
172000,1
174000,1
176000,1
178000,1
180000,1
182000,1
184000,0.9986613
186000,0.9972649
188000,0.9979422
190000,0.9979504
192000,0.9993055
194000,0.9972566
196000,0.9966364
198000,0.9972394
200000,0.9979507
202000,0.9979339
204000,0.9965957
206000,0.9979334
208000,0.9993055
210000,1
212000,0.9993142
214000,0.9986197
216000,0.9979508
218000,0.9993225
220000,0.9972975
222000,0.997298
224000,1
226000,1
228000,0.9993141
230000,1
232000,0.9986365
234000,1
236000,1
238000,1
240000,0.9986109
242000,1
244000,1
246000,0.9986365
248000,0.9993055
250000,1
252000,1
254000,0.9979338
256000,1
258000,0.9986367
260000,0.9972897
262000,0.9972649
264000,0.9965788
266000,0.9979506
268000,0.9919726
270000,0.9959098
272000,0.9966285
274000,0.9979252
276000,0.9986282
278000,0.9993141
280000,1
282000,1
284000,1
286000,1
288000,0.9986282
290000,1
292000,1
294000,1
296000,1
298000,1
300000,1
