steps,click_accuracy
2000,0.07083239
4000,0.1674372
6000,0.5345709
8000,0.6063235
10000,0.6737967
12000,0.7163817
14000,0.6806711
16000,0.7639096
18000,0.7976772
20000,0.7773811
22000,0.8653269
24000,0.8581769
26000,0.876956
28000,0.8824875
30000,0.8576197
32000,0.892154
34000,0.9033315
36000,0.9144902
38000,0.9050015
40000,0.9039376
42000,0.9203748
44000,0.9091816
46000,0.9343355
48000,0.9528213
50000,0.9247268
52000,0.9463001
54000,0.9435909
56000,0.9448874
58000,0.9044819
60000,0.9295901
62000,0.9384196
64000,0.943922
66000,0.9475878
68000,0.9475514
70000,0.9175284
72000,0.9443592
74000,0.9575014
76000,0.915539
78000,0.92309
80000,0.9203189
82000,0.9504099
84000,0.9457873
86000,0.9744936
88000,0.9674094
90000,0.9380677
92000,0.962115
94000,0.9474876
96000,0.9469478
98000,0.9419796
100000,0.9374605
102000,0.9797184
104000,0.9797837
106000,0.9785625
108000,0.975105
110000,0.9672223
112000,0.9831316
114000,0.9817933
116000,0.9872785
118000,0.9864554
120000,0.9892281
122000,0.9905618
124000,0.9720768
126000,0.9878256
128000,0.9836442
130000,0.9788703
132000,0.9743708
134000,0.9628755
136000,0.9639661
138000,0.9643341
140000,0.9489219
142000,0.9707922
144000,0.940722
146000,0.9509988
148000,0.9579142
150000,0.9591187
152000,0.9755872
154000,0.9837112
156000,0.9905311
158000,0.9792019
160000,0.9591821
162000,0.9804764
164000,0.9659753
166000,0.9683155
168000,0.9526503
170000,0.9741765
172000,0.9863937
174000,0.9898106
176000,0.9818028
178000,0.9830757
180000,0.9844144
182000,0.9746946
184000,0.9918182
186000,0.9904951
188000,0.9845344
190000,0.9870415
192000,0.986456
194000,0.9850096
196000,0.9817687
198000,0.9676207
200000,0.9567965
202000,0.9825585
204000,0.987075
206000,0.9838254
208000,0.9891828
210000,0.9891655
212000,0.983872
214000,0.9796379
216000,0.9697992
218000,0.9686139
220000,0.966129
222000,0.9890254
224000,0.9830589
226000,0.9785103
228000,0.9870994
230000,0.9919009
232000,0.9863656
234000,0.9911504
236000,0.9877021
238000,0.9863225
240000,0.9788842
242000,0.9897735
244000,0.9845545
246000,0.9804375
248000,0.9632306
250000,0.9615915
252000,0.9718966
254000,0.980541
256000,0.9832202
258000,0.9648483
260000,0.9713784
262000,0.9857438
264000,0.9797189
266000,0.9818156
268000,0.9891908
270000,0.9878014
272000,0.987067
274000,0.9777422
276000,0.9810762
278000,0.9865538
280000,0.9817632
282000,0.979243
284000,0.9838048
286000,0.9746398
288000,0.9799291
290000,0.9738481
292000,0.9830319
294000,0.9772994
296000,0.9837865
298000,0.9790345
300000,0.9797431
